site	temp_NorWest
PH2015_01D	15.54
PH2015_01U	15.54
PH2015_02D	21.12
PH2015_02U	21.12
PH2015_03D	16.46
PH2015_03U	16.46
PH2015_04D	16.46
PH2015_04U	16.46
PH2015_05S	21.97
PH2015_06S	21.80
PH2015_07D	22.14
PH2015_07U	21.35
PH2015_08D	22.94
PH2015_08U	22.94
PH2015_09S	22.29
PH2015_10S	23.26
PH2015_11S	21.32
PH2015_12D	21.52
PH2015_12U	21.52
PH2015_13D	18.59
PH2015_13U	18.59
PH2015_14S	20.58
PH2017_01_SCD_O_A	18.22
PH2017_02_FOX_O_A	15.58
PH2017_03_ELD_O_A	15.54
PH2017_04_SCI_O_A	18.22
PH2017_05_CCC_O_A	16.46
PH2017_06_SFM_O_A	14.93
PH2017_07_MST_O_A	19.95
PH2017_08_TRC_O_A	15.96
PH2017_09_SFU_O_A	23.13
PH2017_10_PVI_O_A	23.12
PH2017_11_PCY_U_A	22.14
PH2017_12_PCY_D_A	22.14
PH2017_13_LAR_U_A	18.59
PH2017_14_LAR_D_A	18.59
PH2017_15_JOR_U_A	16.60
PH2017_16_JOR_D_A	16.60
PH2017_17_BER_D_A	17.37
PH2017_18_LLB_O_A	16.88
PH2017_19_SFW_U_A	19.28
PH2017_20_SFW_D_A	19.28
PH2017_21_RUC_O_A	20.37
PH2017_22_RUC_O_B	20.37
PH2017_24_DOB_U_A	21.32
PH2017_25_DOB_D_A	21.32
PH2017_26_ELK_O_A	21.71
PH2017_27_LUM_O_A	21.80
PH2017_28_MFU_U_A	22.29
PH2017_29_MFU_D_A	22.29
PH2017_30_WIL_O_A	21.69
PH2017_31_RDM_U_A	19.38
PH2017_32_RDM_D_A	19.38
PH2017_33_LGB_O_A	22.06
PH2017_34_RAT_O_A	19.36
PH2017_35_SFW_U_B	19.28
PH2017_36_ELK_O_B	21.71
PH2017_37_MFU_D_B	22.29
PH2017_38_RDM_U_B	19.38
PH2017_39_LGB_O_B	22.06
PH2017_40_RAT_O_B	19.36
